id,solution
10,cial_prizes Un_der ton_ana row_race Mrs._Wundersitz prizes_were given_to ._Wheelbar ver_Vandepeer H._Hos bold_. cycle_was Langdon_'s and_Dunnett Wundersitz_and santee_. ._Un ._October First_prize humorous_entry Mo_reen Es_santee by_Freeman spe_cial ;_New also_given Douglas_Bar Rex_New Dunnett_'s and_spe Bar_ton Mahar_Den reen_Hyjes Den_ver bold_'s New_bold der_10 Hos_ting won_by to_Langdon 's_Es Sports_ARDROSSAN Wheelbar_row of_decorated ._Mo procession_of ting_and ARDROSSAN_. October_14 a_humorous decorated_cycle
11,Ldr_. tem_porarily laide_asked yester_day dis_order propel_lor Parafield_yester man_had immedi_ately imme_diately suffering_from blood_dis off_imme who_is )_immedi would_prob turning_Sq had_given porarily_out asked_the Sq_Ldr of_Ade in_Ade day_afternoon by_ad ministered_the Ade_laide is_suffering lor_was laide_) order_. only_tem ably_arrive ately_took ad_ministered Cross_in 's_propel prob_ably diately_. The_Red
12,._Sema Merrifield_of Sema_phore Merri_fleld oc_curred Phyllis_Bar Bar_bara street_Semaphore serted_that Balfour_Lance Lawler_custody curred_. Lance_lot misconduct_oc as_serted and_as fleld_. for_Merri
13,to_have have_compared Wales_fields caused_losses will_be be_curtailed precariously_survived survived_the
14,Sacrifice_and of_Sacrifice
15,side_school tained_wives makers_have Council_ten the_scho certifi_cates and_holiday belons_Inits P._Mln pared_by the_Wood sub_branch personal_belons son_' scho_lars con_tents lars_of lision_with daugh_ter LIGHT_'S Baker_re NOARLUNGA_A M.C_. presi_dent re_sponded dames_W. ments_. lodge_mem com_mittee the_Onkapar tbe_Common col_lision mittee_was Common_wealth QUORN_The cates_. mltteemen_were Whal_lin J._Mur inga_restrict recruiting_com V._Whal an_nual P._Lam ._Mes ney_has j_PARRAKIE sponded_. par_cels bers_. distributed_par their_daugh par_ents ents_( and_ath arrange_ments compe_tition ter_Sheezabelle house_compris were_pre nual_meeting year_compe in_stitute dock_F CENTRES_ALAWOONA large_congre mem_bers com_mltteemen GUMERACHA_In accom_panist compris_ing ._GUMERACHA cels_balloons Mes_dames stitute_hall ing_four enter_tained ._QUORN dent_. lin_. welL_of BRINKWORTH_A the_in RENMARK_More ath_letic retiring_com holiday_makers letic_club the_arrange tition_. ten_ders Mur_dock bert_. Mln_cham ._enter and_con CANOWIE_BELT Bri_son ders_are ._RENMARK K._Tids Inits_. Echarm_bergl eatlon_assembled ._LIGHT The_presi bergl_. Lam_bert R._Echarm in_Syd into_col Syd_ney PORT_NOARLUNGA wealth_Railways '_par Tids_welL Onkapar_inga cham_R. was_M.C S._Bri Young_accom the_an BELT_A PARRAKIE_Members tents_destroyed pre_pared Quorn_sub their_certifi panist_. ._BRINKWORTH ALAWOONA_The congre_eatlon Wood_side
16,of_Marl the_Tea of_Buller KATHLEEN_CRUICK O._Cedric Mr._Max Buller_street Tea_chers Gardens_. Max_well JESSIE_GURR Frewville_. Marl_borough caravan_ser will_partici SHANK_daughter toria_and P._Cruickshank of_Frewville borough_road (_Tim ._Taggerty Kensington_Gardens of_Brigalow de_GARIS SETON_de V._( in_cliKle GURR_younger Victoria_. women_in partici_pate chers_' to_F. Vic_toria Malvern_. Taggerty_Victoria R._Fairhead )_only Fairhead_( Brigalow_avenue road_Malvern Gambier_to pate_in Mrs._L. ser_vice in_Vic vice_. F._O. A._de cliKle_Dr. L._A. CRUICK_SHANK Mutton_( well_Shelley Cruickshank_of
17,Han_ley ley_K. stitute_funds 's_eishi TRURO_At com_mittee niiie_road club_com the_elimi of_in elimi_nation mittee_it nation_dance in_stitute eishi_niiie L._Han
18,pre_sented retired_10 ney_for til_West in_Syd nine_the throat_scramble ne_gligible Hol_llday ings_of regard_ing com_ing subject_of un_til cut_throat pre_miership be_pre Syd_ney represen_tative ing_personnel football_gather tomor_row season_is sell_. of_win its_cricket tative_on (_Ryan (_ON 298_( fulfilled_un and_Hol substilu_Round GLENELG_will miership_discussions the_cut Information_regard Ryan_102 ._In scoring_in the_com football_season ON_the *_GLENELG llday_. gather_ings and_represen Introduced_him ing_year Round_The him_sell In_tbe pre-season_pre are_ne fine_tomor win_nine row_there sented_. of_fast gligible_.
19,ports_. necessarily_in have_already greater_part theatre_. Kesselring_has up_for ''_Kesselring Brindisi_and ._`` ''_Considerable conclusion_of Considerable_new ``_It a_body 2.—AAP_. of_troops Army_which of_the campaign_Sertorius It_is for_which body_of the_greater 8th_Army which_Apulia interim_base is_feasible the_great ._Part great_battle base_on the_8th doubtless_want already_been
20,re_visited man_pillars toric_brig he_re tioned_there sounding_bell annuai_re chants_and sta_tioned old_excllent wood_and forring_to cause_there Exchange_dur at_tended dur_ing and_Nor marvel_lous wonderful_Ro Trans_forring ing_of ._Trans were_sta visited_Port stana_ine years_re talk_ing troops_stana Christmas_time-he quiet_spoken Nor_wood ine_beside launch_Larrakia house_in lous_ritual Larrakia_to me_`` beautiful_blend Munster_Fusiliers Espe_cially ._be chant_at time-he_was port_in his_toric tended_an he_at ing_to for_years produce_mer cially_inspiring Ro_man 's_his excllent_sounding Don_Light tired_through re_tired mer_chant mer_chants ``_was Light_house spoken_Mr. ing_the re_port and_marvel was_talk blend_ing ._Espe be_cause
21,&_c. signed_the memorial.—_I ._it express_undertaking rigation_but frequent_restrictions con_tinue the_request endangering_supplies surplus_has If_we supplies_for to_lodge of_water players_' and_will months_the surpluses_of it_should since_1928 position_more undertaking_by lie_for complying_with restrictions_which believe_sometimes grass_nearly ._Throughout fairways_can has_been for_the been_placed to_con 1928_£3 two_years can_not long_hours without_ir nearly_a the_course places_where Municipal_Golf thick_grass years_been the_job with_thick work_long and_I Golf_Links the_expendi c._C. reservoir_water domestic_use In_consequence this_small his_compliment ir_rigation without_endangering more_and lodge_. job_and small_number place_in Links_but distribution_could putting_green ._South will_eventually for_domestic sorbed_into fit_for play_. ab_sorbed lost_players been_ab It_can ._If ours_. the_memorial.— The_force for_play which_should by_complying use_Torrens year_for years_and quantities_without ture_needed expendi_ture to_putting
22,continue_. outcome_continue the_threePower Secretary_( )_. (_M. Molotoff_) d'Affaires_( Minister_( closely_argued ._Some reports_Reuter have_been Russians_have Some_of progress_reports Charge_d'Affaires keenly_and and_closely the_discussions discussions_have threePower_conference Reuter_'s M._Molotoff
23,Mc_Donald I_wristlet running_Mrs. damaged_beyond Nora_McDonald the_dwelling Nora_May Ann_Mc 10._was returned_they the_defen back_yard the_back beyond_repair gold_wristlet dant_had a_personal £7_10. yesterday_with personal_bond Court_yesterday dwelling_house on_December defen_dant
24,the_Commonwealth ply_and erec_tion south_Aus -1_rralia for_De following_: tory_Board Commonwealth_Gazette Adelaide_erec Adelaide_sup painting_. Commonwealth_and sup_ply ._£260 and_painting the_following De_partment ._De tion_ol Aus_-1 for_Fac Fac_tory Minlaton_South partment_of
25,was_very said_in the_previous Connel_) and_merchant )_said previous_vear Ian_Connel merchant_was
26,length_of slight_earth earth_movement from_a of_drinking that_the varied_from geological_adjustments Astronomer_( (_Mr. ._The to_geological Pirie_one Nurd_near from_Nurd the_length the_Observatory yesterday_morning Mr._G.
27,history_'' almost_£3m damage_in 's_earthquake This_is in_Adelaide was_£1m. £3m_. £1m._but ._`` ''_he ``_This on_March earthquake_on
28,Municipal_Tramways im_practicable tram_lines was_im re_quest practicable_from quest_from lines_neither district_represen tatives_of established_tram services_imme The_gene ral_manager a_re gene_ral represen_tatives imme_diately diately_parallel
29,many_messages relatives_throughout yester_day up_in -_Gene explained_yes hearing_he ac_count ._in ._Sitting and_relatives Burra_Wirrabara Carrington_street the_same colonist_on oldest_colonist corn_mill much_ac yes_terday re_turned King_Wil bed_in Majesties_the scores_of day_was It_re Exellency_the same_as Aus_tralia His_Exellency rested_to his_Carrington estab_lishment Sitting_up his_100th the_General Carrington_. much_the grocery_estab vale_and liam_street messages_received ment_grown much_inte count_of in_his mill_. in_bed Wirrabara_Water inte_rested ral_( he_re cords_that ing_your celebrat_ing received_yester His_Excellency friends_and and_parcels received_scores settle_ment Wil_liam Excellency_the terday_that telegrams_letters 's_oldest birthday_. lishment_of later_at ._His tralia_on Pritchard_the Pritchard_welcorned Gene_ral South_Aus Mr._William are_celebrat on_his of_telegrams William_Pritchard turned_to Water_vale he_had the_settle re_cords parcels_. welcorned_friends
30,:_Horace then_struck endangered_the daneerrd_the and_endangered and_en ._Leslie wall_. en_daneerrd a_wall car_then Horace_Edgar Leslie_Murray
31,White_Crow.—Mr tion_. ment_of the_develop retary_. sec_tion Adelaide_Insti black_pigment sec_retary absence_of pigment_in Klaffer_of A._Sandi total_absence ._A. ;_sec tute_held the_unusual Crow.—Mr_. ._The shot_. Kimna_Eyre Sandi_son was_produced develop_ment Insti_tute Juvenile_sec the_the son_.
32,on_Satur ._He day_was Satur_day
33,understood_will is_understood
34,(_16 day_has ferences._' re_turned celebrating_after he_re cap_says mes_sage Har_row Webbe_( good_reasons sity_in tive_bullseves final_stage turned_with (_65 tion_— rare_dis bullseves_. a_pos in_Decem Decem_ber combina_tion for_celebrating Handi_cap row_terrace lenger_Fred five_good cided_to tinctions_writes tances_. chal_lenger recordbreak_ing Nutt_( non_stop had_de de_cided the_daily 16_) handicap_performance stop_brilliance 14_consecu dis_tinctions Juvenile_Handi of_Har sage_. dif_ferences. the_non daily_individual 65_) daily_handicap on_Wednes their_dif race_chal dis_tances consecu_tive ber_last Bernborough_combina once_recordbreak for_Univer sible_in pos_sible stage_over five_dis ing_Bernborough Wednes_day Univer_sity Sydney_mes
35,gendarmerie_took the_initiative immediately_the initiative_and static_. Lord_Halifax repercussions_of asserting_that by_asserting Of_Japan ''_in consider_any were_all arrests_which Government_which ._Four that_he will_find here_and wide_round-up Halifax_'s Japan_FOUR British_. he_did He_is to_consider be_detained pleading_will thought_they Government_by Yonai_Government ._Mr. London_to all_British political_repercussions and_was protest_against the_gendarmerie the_political ._In however_were while_admitting the_Yonai response_here which_persistently round-up_of for_`` took_the clamored_for which_however In_addition the_Government He_thought admitting_that they_were to_be arrests_.
36,been_camping to_Cairns for_a tlie_car a_drive visited_by ambulance_to ._Davidson the_embankment Gap_Nambour Ernest_Burns doctor_who camping_at collar_bone by_the :_— and_was a_doctor shock_condition was_passing —_Killed—Thomas
37,son_; ;_College have_reason road_Patrick ment_of keepers'—Adelaide_. ._`` Premises.—Wine—Burn_side wich_. An_drew ;_Ade the_whole On_the good_condition Robert_son Herbert_Ernest Dul_wich Licensed_Premises.—Wine—Burn although_there base_ment the_licensees H._Camp Camp_bell forfeited_during AusI_trolian Herbert_Rankire Premises.—Store_keepers'—Adelaide Licensed_Premises.—Store Ernest_An reason_to :_Dul Ade_laide were_forfeited ._In condition_'' drew_Murray Wil_liam street_Herbert to_base liam_F. but_although bell_manager South_AusI business_has S._Robert LM.._Wil whole_I Court_and Rankire_; licensees_themselves Court_yesterday side_. Burns_; manager_.
38,SA_and performances_in ing_was Limelight_New avaliable_for singles_on ._Earlier in_table tralia_carnival has_a to_relenquish occasions_was in_succession Earlier_she chamion_Feleice Glenelg_district Sanderson_of captain_of certain_business New_City Australian_meet game_against and_make resulted_in title_on so_impressed SALGU_. Nailsworth_school She_was the_All-Aus record_in spirited_game ._Nailsworth selection_. not_avaliable title_holder was_triple district_team the_SALGU a_junior outstannding_performances Victoria_and Kooyonga_and in_her team_has mixed_doubles and_Victorian in_Hobart carnival_team junior_and Australian_foursomes meet_ing tennis_. and_five chamion_. was_made for_State State_champion gave_her triple_title warmly_received attack_wing doubles_chamion State_selection titles_in transferred_in Pauline_Sanderson was_seven doubles_champion tennis_chamion may_have and_Mrs. played_attack relenquish_certain of_Glenelg succession_won SA_title school_gave impressed_her Adelaide_table in_1950 champion_Mrs. All-Aus_tralia have_been another_former White_captain return_and was_warmly five_times Her_outstannding with_another
39,pre_sented guests_was try_Women cerning_Mr. Memo_rial Patty_Lar ham_'s !_cepre*l posed_by the_Coun ._After cates_of ._ITuri dent_) Prlas_bella Dolly_Arm Coo_mandook panto_mime con_cerning sociation_tras ginia_Catholic Lind_say were_pro bership_numbered pro_posed CRYSTAL_BROOK Apple_pack ex_tensive tbiJBy_. lent_conditions MORCHARD_The and_after Lincoln_rail satis_factory.— ._BOOBOROWIE references_con ._MINNIPA CENTRES_BORDERTOWN deats_treasurer C._Scar of_th was_satis Auxi_liary Barbara_Lind de_parture Belst_nich ._YONGALA gene_ral Ing_and (_presi seed_reap W._Rey condi_tion ._Sup presi_dent fur_lough com_petltiton ._PORT mlll_A. L._Schwa-v com_l-eted commit_tee ._MOONTA diers_' sented_the W._Hanna Fehl_berg NURIOOTPA_Miss tional_committees con_cert wiio_per rail_ways col_lision lished_3s ar_ranged tee_of neyed_from meet_Ing J._Prlas Rey_nolds wood_gave PORT_LINCOLN during_tbiJBy WAKEFIELD_'A The_superin dren_to whit_Ing an_nual mem_bership Sol_diers ._Pre nolds_MEADOWS Haan_mlll ._Mes HERMITAGE_.- Wick_ham and_Coo on_be J._Belst vens_of ral_and PORT_WAKEFIELD the_ex nual_fixture bers_of River_Mur ford_. Coun_try 'er_. dent_( past_mem E._An under_excel and_car Pre_sentations their_de em_banked president_vicepresl lision_at by_mem Is_abou50 sSow_panto babies_com Baret_Marshall penter_. Hie_fooi repre_sented t.is_ir ITuri_ootps tendent_train preachers_Jour after_noon ler_. became_estab rial_Hospital pre_sided reap_ing lough_from Nurlootpa_Sol ._CRYSTAL jury_when of_whit Adclr.lde_KYBYBOLITE sixty-fourth_an the_em After_noon the_chil half_or accom_panied Sup_p chil_dren Arm_ttrong pected_until mem_bers been_ap months_Mar ._LAURA cessor_to fooi_o golf_com pove_. GREENOCK_A a_con ways_and social_commit Jolin_HcBer sentations_were An_pove ._NURIOOTPA HAWKER_„ pack_ing 's_Auxi thanked_mem dazed_condi ray_. was_accom excel_lent liary_to th_guests ootps_Freellng ranged_a abou50_vears and_Hal L._Ste say_Is YONGALA_A Ste_vens Jour_neyed ;_HERMITAGE M._Jacobs car_penter Semm_'er ._ROSEWORTHY KYBYBOLITE_There mous_resolution panied_by As_sociation denti_Mrs. man_. ROSEWORTHY_The l-eted_. be_half cert_in mime_'Tit-bite Miss_L. factory.—_Mr. ?_PORT ._MORCHARD jiosed_. PORT_PIRIE Mar_Baret Sec_tional bers_for the_Willaf plies_of p_? A._Fehl Scar_borough Ful_ler sided_. pro_jiosed parture_from the_mem BORDERTOWN_Digger Ing_of PIRIE_The R._Ful y_meet ing_is let.-_Mr. in_jury Jacobs_t.is LINCOLN_Mr into_col bella_P. H._Hol superin_tendent suc_cessor Lines_pre Vir_ginia pointed_secretary banked_racing borough_presided petltiton_play.— estab_lished tensive_alterations unani_mous ffi_; sented_. land_) the_Vir ttrong_. Lar_wood vicepresl_deats is_gene ap_pointed mandook_resulted Willaf_ton Certifi_cates uu.-_pro per_rormed Trie_presi ex_pected noon_tea ._HAWKER scMcn_Sup berg_and be_ex R._Haan BOOBOROWIE_t I_GREENOCK the_Memo O._Semm Cricket_As ing_In Mes_ffi bers_was ._Certifi LAURA_The Waroecke_ar on_fur ton_team ._suc YORKETOWN_The Sup_plies were_repre Hanna_ford nich_and serious_in association_pre W._Wick ._Sec HcBer_man Hol_land rormed_the a_unani MINNIPA_The Hal_let.- ._YORKETOWN tion_by Mur_ray cepre*l_denti
40,Blackham_and in_1895 at_tended Themistocles_tomor Blackham_of his_best has_held )_when of_Free 1895_( '_the sia_. Under-Sheriff_of Robert_J. Com_panies tended_the Worshipful_Com Other_posts express_Colonel land_agent Medi_cine com_missioned adminis_trator Past_Grand yesterday.-_Accompanied Apothecaries_' and_Past staying_at Harding_) and_Rus Lord_Harding Corps_in author_and posts_which tomor_row Medical_Corps ._Black in_Ade ham_. Free_masons Belgium_Italy don_in missioned_in —_Under-Sheriff of_Lon Blackham_was Rus_sia Society_( known_book 'Scalpel_Sword Accompanied_by masons_of makers_' Corpora_tion Blackham_at tion_of ancient_Worshipful Army_in trator_of Officers_' are_staying Grand_Officers with_the was_com (_Corpora lawyer_author Blackham_has panies_the Colonel_Robert cine_at row_. laide_yesterday.- of_Medi Lon_don ._Belgium (_adminis a_cere London_Colonel cere_monial Ade_laide Black_ham the_Apothecaries was_five agent_. the_Needle best_known Needle_makers monial_parade
41,recondition_ing ing_plant coming_to headquar_ters re_turned of_experience then_adver he_re as_signment he_first theatre_. tor_of managing_direc experience_gained the_Hol has_com posi_tions appointed_direc vehicle_recondition GM_Nordiska mana_ger Motors_Holdens 5½_years 1950_has cutive_posi tising_and as_sistant appointed_manag com_pleted Ltd._since became_adver sistant_managing all_headquar Man_aging direc_tor tions_headquarters exe_cutive overseas_opera ._Man be_fore fore_coming Sweden_be tising_department signment_which the_adver ing_director ters_contacts turned_to first_joined Holdens_. Australian_as the_China-BurmaIndia adver_tising assis_tant Hol_den Nordiska_Sweden China-BurmaIndia_theatre in_exe the_manag for_5½ manag_ing pleted_his ._Ltd. tions_for den_has sales_mana opera_tions Daum_as as_assis aging_direc tant_sales joined_GM ger_at since_1950 tising_manager
42,battle_in Sovereign_Hill about_two The_150 famous_battle the_hill 5_. 150_men and_red Ballarat_staged miles_from Thousands_of coated_troopers pageant_took the_storming of_people the_famous storming_of took_place ._Ballarat red_coated Dec._5 Hill_about in_1854
43,zens_claimed cases_alone—to thought_died From_Our up_again tions_to bru_tality brain_opera fended_the police_bru The_`` a_be Capone_has ''_The ``_secret that_most cops_have Al_Capone citi_zens BRUTALITY_From third_degree cost_the only_make might_cost ''_that investigations_ques where_citi of_Investi of_the ques_tions pend_ing lated_effort be_lated shot_`` their_cus suits_pend YORK_Feb STORIES_OF cus_tody agreement_'' by_mistake )_de 's_8m blown_up police_to trigger-happy_cops Feb_20 POLICE_BRUTALITY tions_in Investi_gation would_only OF_U.S. De_partment ``_third only_police ``_by AFTER_STORIES Yorkers_thought a_`` U.S._POLICE opera_tions Justice_De tality_and 8m_. partment_to ''_A secret_agreement alone—to_two ing_added gation_in de_fended Our_Special tody_. degree_'' ._'' again_into
